Job,Operation,Machine,Start,Duration,End,Worker
1,1,1,4,5,9,None
1,2,5,9,3,12,None
1,3,6,12,2,14,None
1,4,1,15,1,16,None
1,5,3,28,1,29,None
1,6,6,29,6,35,None
2,1,2,0,6,6,None
2,2,3,10,1,11,None
2,3,1,16,2,18,None
2,4,4,22,6,28,None
2,5,1,28,1,29,None
3,1,2,12,6,18,None
3,2,6,18,2,20,None
3,3,1,20,1,21,None
3,4,6,21,6,27,None
3,5,1,27,1,28,None
4,1,1,0,1,1,None
4,2,2,6,6,12,None
4,3,3,19,1,20,None
4,4,5,20,3,23,None
4,5,6,27,2,29,None
5,1,5,0,3,3,None
5,2,1,11,1,12,None
5,3,2,18,6,24,None
5,4,3,24,4,28,None
5,5,4,28,6,34,None
5,6,3,34,4,38,None
6,1,6,6,2,8,None
6,2,1,12,2,14,None
6,3,3,20,4,24,None
6,4,2,30,6,36,None
6,5,1,36,1,37,None
6,6,1,37,3,40,None
7,1,6,3,1,4,None
7,2,4,4,2,6,None
7,3,3,15,4,19,None
7,4,5,19,1,20,None
7,5,3,29,1,30,None
8,1,6,4,2,6,None
8,2,3,6,4,10,None
8,3,1,14,1,15,None
8,4,2,24,6,30,None
8,5,4,34,6,40,None
9,1,6,2,1,3,None
9,2,1,3,1,4,None
9,3,4,6,3,9,None
9,4,1,9,2,11,None
9,5,3,11,4,15,None
9,6,4,16,6,22,None
10,1,6,0,2,2,None
10,2,3,2,4,6,None
10,3,5,6,3,9,None
10,4,6,9,1,10,None
10,5,4,10,6,16,None
10,6,1,21,3,24,None
