Job,Operation,Machine,Start,Duration,End,Worker
1,1,2,12,2,14,None
1,2,4,18,4,22,None
1,3,8,22,2,24,None
2,1,1,8,4,12,None
2,2,4,15,3,18,None
2,3,6,18,3,21,None
3,1,3,0,4,4,None
3,2,5,8,2,10,None
3,3,8,10,2,12,None
4,1,2,9,3,12,None
4,2,5,15,5,20,None
4,3,6,21,3,24,None
5,1,3,4,3,7,None
5,2,5,10,1,11,None
5,3,6,11,3,14,None
6,1,3,7,4,11,None
6,2,4,13,2,15,None
6,3,7,19,3,22,None
7,1,2,0,2,2,None
7,2,4,2,4,6,None
7,3,6,6,3,9,None
8,1,1,0,3,3,None
8,2,5,3,5,8,None
8,3,7,8,3,11,None
9,1,1,6,2,8,None
9,2,4,12,1,13,None
9,3,9,14,5,19,None
10,1,1,3,3,6,None
10,2,4,9,3,12,None
10,3,6,14,4,18,None
11,1,2,2,2,4,None
11,2,4,6,3,9,None
11,3,9,9,5,14,None
12,1,2,4,5,9,None
12,2,5,11,4,15,None
12,3,7,15,4,19,None
